"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"Mon Nov 21 2022 00:00:00 GMT+0530 (India Standard Time)","410.00","428.00","405.90","426.60","4.05","3.40","164,705"
"Mon Nov 28 2022 00:00:00 GMT+0530 (India Standard Time)","424.50","443.95","424.50","435.00","1.97","1.32","161,880"
"Mon Dec 05 2022 00:00:00 GMT+0530 (India Standard Time)","433.20","444.55","420.00","436.70","0.39","-0.26","1,159,401"
"Mon Dec 12 2022 00:00:00 GMT+0530 (India Standard Time)","427.00","444.95","415.25","417.70","-4.35","-5.00","376,297"
"Mon Dec 19 2022 00:00:00 GMT+0530 (India Standard Time)","420.05","450.85","406.95","429.05","2.72","2.07","697,675"
"Mon Dec 26 2022 00:00:00 GMT+0530 (India Standard Time)","429.10","431.65","415.45","424.50","-1.06","-1.71","193,775"
"Mon Jan 02 2023 00:00:00 GMT+0530 (India Standard Time)","421.05","440.00","418.20","422.60","-0.45","-1.09","295,941"
"Mon Jan 09 2023 00:00:00 GMT+0530 (India Standard Time)","424.15","433.00","414.50","420.35","-0.53","-1.18","115,069"
"Mon Jan 16 2023 00:00:00 GMT+0530 (India Standard Time)","415.55","425.80","414.25","417.95","-0.57","-1.22","102,766"
"Mon Jan 23 2023 00:00:00 GMT+0530 (India Standard Time)","413.00","421.40","379.50","381.40","-8.75","-9.39","110,767"
"Mon Jan 30 2023 00:00:00 GMT+0530 (India Standard Time)","380.55","394.50","369.50","385.80","1.15","0.51","136,741"
"Mon Feb 06 2023 00:00:00 GMT+0530 (India Standard Time)","385.85","404.90","385.85","399.85","3.64","3.00","117,607"
"Mon Feb 13 2023 00:00:00 GMT+0530 (India Standard Time)","410.00","444.65","405.20","435.80","8.99","8.34","463,700"
"Mon Feb 20 2023 00:00:00 GMT+0530 (India Standard Time)","434.95","453.55","427.60","438.20","0.55","-0.10","268,534"
"Mon Feb 27 2023 00:00:00 GMT+0530 (India Standard Time)","434.60","440.15","414.50","416.35","-4.99","-5.63","166,521"
"Mon Mar 06 2023 00:00:00 GMT+0530 (India Standard Time)","416.55","430.70","415.00","428.90","3.01","2.37","155,644"
"Mon Mar 13 2023 00:00:00 GMT+0530 (India Standard Time)","428.90","441.60","414.50","440.75","2.76","2.12","165,081"
"Mon Mar 20 2023 00:00:00 GMT+0530 (India Standard Time)","440.85","446.00","424.05","425.65","-3.43","-4.07","171,021"
"Mon Mar 27 2023 00:00:00 GMT+0530 (India Standard Time)","422.55","468.00","422.55","465.00","9.24","8.60","292,255"
"Mon Apr 03 2023 00:00:00 GMT+0530 (India Standard Time)","466.00","488.85","464.45","482.10","3.68","3.03","264,092"
"Mon Apr 10 2023 00:00:00 GMT+0530 (India Standard Time)","483.20","495.20","480.65","490.40","1.72","1.08","172,666"
